Month,keyword,count,tweets
2'21,live,550,"['lr4 qualifying match  cornell              vs    utica  live now  ', 'mango lives at squirrelwood equine sanctuary  ny nonprofit therapy for vets w  ptsd    mango had emergency lifesaving surgery at a cornell vet hospital this am  this means     for her moms   please  can u help  gofundme is  mango s surgery   or donate at     ', '  cornell largely empty and leaky interior spaces brought to beach like temperatures  it is not going to happen  what    calls  our land    a new commonwealth  it needs a moses to lead us there  from slavery of lives only fossil fuel use makes available to more ', 'poetry live mary gilliland award winning cornell author   via    my 23 february 2021 reading from the ruined walled castle garden at odyssey bookstore with q amp a', '  this times a bajillion   and i ll never forget seeing chris cornell play  seasons  live in eugene at the shedd the year i moved here ']"
2'21,school,539,"['  cornell   hell  i even talked about ivy league schools located in ithaca  ny  but idk if it will make the cut ', '  football       lucas  hunter 6 2    200 ibs class  2023 position  qb school  cornwall central hs  ny coach  ryan baldock    40  4 9  shuttle  4 48 gpa  4 375 ncaa id  1912759908    ', '    i had many great teachers along the way  for which i m eternally grateful   but as an airforce brat  moving around  8 schools from k 12  these relationships were constantly interrupted  still  they kept embers burning until i was prepared to embrace the gift of school learning ', '  son     1  the legal information institute of cornell law school   homicide is when one human being causes the death of another   2  murder occurs when one human being unlawfully kills another human being   tell me what such  criteria  there is for murder that abortion doesn t fulfill  ', 'i need to know which ivy league school greg went to  it s clearly not harvard or cornell or we d know already   survivor']"
2'21,people,536,"['  you i don t mean to all of this is connected somehow i wouldn t have had multiple people sending me private messages in the beginning telling me i m the key to all of this that was back on chris cornell s death i was receiving multiple messages from people on facebook before', ' cornell is a suitably generic hyur name  zazanell is the dunesfolk naming convention arbitrarily picked because he was surrounded by lalas  however because his first name is monosyllabic  amp  hes employed by the coco brothers people keep calling him coconell', '  remember when people complained about cornell ', '  my first college workout at cornell was with taylor simaz and that dude showed me what hand fighting did to people   i was so out of shape', '  ohe           cornell       vondrich   he is right tho   we are lucky to have people like mark who fights back against propaganda    the public does allow it  and it s complicated    voters are dumb  and voter suppression is real  especially in texas    fighting back takes money and they always have more ']"
2'21,today,535,"['for fans of   on    today s episode has a double dose of cornell  with christian brady  92 as the contestant answering a question about  fellow cornellian  swati mohan  04  who appears later as the special guest ', '      cornell i have been for over a decade  you are welcome to see for yourself  it will explain the problem of why expecting an 80 trillion capitalist 0  co2 econ of today s size never mind tomorrow  powered off renewables is scientifically improbable in time left   ', '      cornell electrical power generation today   just 30  of emissions  you need to not only turn all current electrical gen to renewable  you need to tripple size of the entire energy grid for the other 70    amp  do that every 30 yrs to keep up with perpetual growth do you see a problem yet ', ' again  amp  again    occurs in communities w  serious oppression  good ex is susan rice s father emmett j  rice  cornell economics professor  fed governor  expert on monetary systems of developing countries    where was he born  little florence sc  today florence is 46 7  afam  1   ', 'fought hard just wasn t enough today   g  mcconvey  4   levandowski  2   mccormack  2   haley  hunter  jacobs  limoges cornell  13 svs  ']"
2'21,family,527,"['            the hate for my family members and slavery is beyond visible yet these haters  amp  criminals of slavery get to enjoy their honey   no fucking way is this anything but a crime   where is their money   yes their money   ', '            than the so hurt  babies youth   left behind by humans who killed their parents have to trust them to survive instead letting our family members worldwide do their jobs   my family should never be compared to humans   ', '            oh my gosh   is worth than my family  their generations  homes worlds  amp  especially their babies youth     a fucking product is worth than a life because the law is guilty of discrimination   ', 'a terrific idea   i hope my alma mater cornell follows suit  so many of my black classmates who didn t complete their degrees had insurmountable financial and family constraints  now with so many courses available online  this seems easier than ever   ', '            you humans  have made trillions and an abundance of overpopulation  amp   poverty but fucking surviving more than me  motherearth and it obvious what species treats me with respect my only family at this point   ']"
2'21,much,522,"['  cornell they re operating in or close by to your area  see   basically they figured out a way to make boring the hole much easier  and combined that with low cost financing ', 'college was fun at cornell  not so much at temple  loads of stress  but in a good way  w  kelly dinardo    ', ' 5 6      one year later he would go on to complete his master s degree at columbia university    sowell would go on to spend much of his life working in academia  teaching at cornell university  howard university  rutgers university  and the university of california  among   ', '    lodi     congrats   lodi i am so glad 2 of my kids were able to be learn under you as their principal  i miss seeing you as much as i did     your doing great work for our kids     weareinthistogether', '  al   thanks so much  this feed is run through cornell lab of ornithology for project feederwatch  amp  only streams from nov  to april ']"
2'21,year,518,"['timbaland s greatest beat round 1 matchup  timbaland  amp  magoo   n 2 da music  ft  brandy  year  2003 album  under construction part ii  vs  chris cornell   scream  ft  timbaland  year  2009 album  scream', '  she is gorgeous  but what a rough year to be a senior  and now off to cornell  you must be very proud ', '    cornell     she s been the  1 woman in talk radio for many years  only woman in the top 10 ', 'this year 9 postdocs were the recipients of travel awards  marie labousse  columbia university    usa puja parekh   droctothorpe   weill cornell medicine  usa hayley fischer    university of pittsburgh  usa', '      marquis        i look forward to that  you may like a paper that i published two years ago  with eesley  skousen  and cheng  on this subject in strategy science   see ya   ']"
2'21,black,515,"[' to maneuver around the university s decision  not to approve their application to start their own fraternity   the eleven men decided to found a providence chapter of alpha phi alpha  a fraternity for black men first founded at cornell in 1906    bhm  ', '  tyler vaughns  jaelon darden  tamarrion taylor  jonathan adams jr  ihmir smith marsette cornell powell  dax milne  damonte coxie  tarik black  marquez stevenson  demetric felton  rb   anthony schwartz  trevon grimes  shi smith  demetris robertson  nico collins dazz newsome', 'every once and a while my mind will wander to ann wilson belting out  black hole sun  on kimmel the night after chris cornell died  and i cry  every time  without fail ', 'a terrific idea   i hope my alma mater cornell follows suit  so many of my black classmates who didn t complete their degrees had insurmountable financial and family constraints  now with so many courses available online  this seems easier than ever   ', 'project feederwatch   count summary    new bird at feeder this week   juvenile red winged blackbird   photo from cornell ornithology lab website  because my bird photo skills are nil   ']"
2'21,really,505,"['        official well rosa parks never finished technical college not to talk of attending cornell  but went on to fight for social injustice  which only shows being book smart doesnt really mean you learn the struggle of others      ', 'thank you to everyone hosting this weekend  cornell  mafl  vfl  and iifa all had really efficient and fun tournaments  and congrats to everyone on a good day of competition  we ll be back at it tomorrow  get some rest and take care       ', '  what congratulations  cornell is beautiful  but it s really cold ', '      marquis        dear johanna  i am really looking forward to this session  i am exploring institutional enactment by firms operating in nigeria  your articles on institution is really insightful ', 'while we anxiously await news from cornell can you share a favorite picture  video  meme or gif  we would really appreciate it   mango  ']"
2'21,vicky,474,"['and vicky has already sold all of her interest shares in chris cornell music and didn t bother to tell soundgarden       ', 'oh look  soundgarden has responded  lol  so soozan s portion wasn t included in the grossly incorrect buyout price vicky cornell blitzed the media with  and it also appears that vicky isn t the sole supporter of lily too as she claimed she was  is vicky lying again     ', 'todos pendientes del chisme de vicky cornell  elor culodelrawk  ', ' eloraculodelrawk  as  con el chisme  digo noticias  de vicky cornell jija del ma z  ', '  who s vicky cornell   ']"
2'21,work,468,"['  cornell that s what i m trying to do  when i had a week off because of the snowy death that didn t really work ', '  it s amazing  eddie vedder and chris cornell working together is a particular highlight  it s called twenty i think   ', 'got some work to do in the second half   g  levandowski  2   jacobs  limoges  t  mcconvey  haley cornell  7 svs  ', '    lodi     congratulations to a great colleague and even better friend  nice work ', ' 5 6      one year later he would go on to complete his master s degree at columbia university    sowell would go on to spend much of his life working in academia  teaching at cornell university  howard university  rutgers university  and the university of california  among   ']"
2'21,back,463,"['  you i don t mean to all of this is connected somehow i wouldn t have had multiple people sending me private messages in the beginning telling me i m the key to all of this that was back on chris cornell s death i was receiving multiple messages from people on facebook before', 'thank you to everyone hosting this weekend  cornell  mafl  vfl  and iifa all had really efficient and fun tournaments  and congrats to everyone on a good day of competition  we ll be back at it tomorrow  get some rest and take care       ', '  why not  avax  probably one of the most promising altcoins avaliable on the market   it has a great team behind  the whole project is backed by cornell  ivy league member and home of  link   amp  the tech is not a promise  but an actual reality   read more     ', '  bill maher what about the monroe doctrine  i thought latin anerica was our backyard   yup cornell   s finest calling for the good ole days ', '  y all were cornell students but i wasn t  reesh came outside with one of your id cards to meet me and sneak me inside  but then i got distracted and went elsewhere and never came back     even in the dream i was like you ghosted your friends wtf   sooooo xd']"
2'21,records,453,"[' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ', ' vintage  music  records  78rpm  10inch  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry in my  etsy  shop   g s  ', ' vintage  music  records  78rpm  10inch  snookylanson  doncornell  chuckmiller  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday in my  etsy  shop  g q  ', ' vintage  music  records  78rpm  10inch  doncornell  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller  snookylanson  tennesseeernie in my  etsy  shop  g d  ']"
2'21,nothing,447,"['  cornell   and it had nothing to do with bernard hall   ', '      cornell is looking awesome and all the critters are coming out for spring  nothing gets a party going like a vibrating grasshopper   ', '  metallica  turn the page chris cornell  nothing compares to you', '    nothing compares to you  chris cornell and chris and toni cornell ', '    nothing compares to you  chris cornell ']"
2'21,shop,439,"['      cornell is looking awesome and all the critters are coming out for spring  nothing gets a party going like a vibrating grasshopper   ', 'check out this listing i just added to my  poshmark closet  april cornell gray boho dress lace accents medium     shopmycloset  ', ' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ', 'fighting stigma    bishop england athlete follows famous father s footsteps signing to play at cornell  when pen hits paper  their child is off the payroll  but  some signings just mean a bit more  you could see that pride on the face of ed marinaro   ', ' vintage  music  records  78rpm  10inch  snooky  lanson  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller in my  etsy  shop  g t  ']"
2'21,well,438,"['        official well rosa parks never finished technical college not to talk of attending cornell  but went on to fight for social injustice  which only shows being book smart doesnt really mean you learn the struggle of others      ', '  tyler vaughns  jaelon darden  tamarrion taylor  jonathan adams jr  ihmir smith marsette cornell powell  dax milne  damonte coxie  tarik black  marquez stevenson  demetric felton  rb   anthony schwartz  trevon grimes  shi smith  demetris robertson  nico collins dazz newsome', ' 5 6      one year later he would go on to complete his master s degree at columbia university    sowell would go on to spend much of his life working in academia  teaching at cornell university  howard university  rutgers university  and the university of california  among   ', '  muggle freddy is pretty hard to top   chris cornell and eddie vedder are great as well ', '  nordgaard             cornell       vondrich   agree  putting the burden of responsibility for their existence on the public doesn t seem fair or well thought out ']"
2'21,even,432,"['  cornell   hell  i even talked about ivy league schools located in ithaca  ny  but idk if it will make the cut ', ' to maneuver around the university s decision  not to approve their application to start their own fraternity   the eleven men decided to found a providence chapter of alpha phi alpha  a fraternity for black men first founded at cornell in 1906    bhm  ', '  y all were cornell students but i wasn t  reesh came outside with one of your id cards to meet me and sneak me inside  but then i got distracted and went elsewhere and never came back     even in the dream i was like you ghosted your friends wtf   sooooo xd', '  tyler vaughns  jaelon darden  tamarrion taylor  jonathan adams jr  ihmir smith marsette cornell powell  dax milne  damonte coxie  tarik black  marquez stevenson  demetric felton  rb   anthony schwartz  trevon grimes  shi smith  demetris robertson  nico collins dazz newsome', '      cornell which is clearly evident on the article i left for you  we cant cut emissions by 45  while also satisfying capitalism s global demand for perpetual 3  growth of consumption to prevent its collapse  no matter how many solar panels are thrown at it ']"
