,County,Coordinates,Area (sq/mi),Radius (mi)
0,NEW CASTLE,"[39.6852191, -75.7508289]",426.29,11.648876487128817
1,KENT,"[39.1156594, -75.484116]",586.18,13.659882582560725
2,SUSSEX,"[38.6908097, -75.3691421]",936.08,17.261874354285567
