,County,Coordinates,Area (sq/mi),Radius (mi)
149,GUADALUPE,"[29.6480061, -97.8279576]",711.30,15.047275492967506
150,KARNES,"[28.8791858, -97.9062893]",747.56,15.426041509243866
151,WILSON,"[29.1589961, -98.1251465]",803.73,15.99508519134954
152,GONZALES,"[29.4436555, -97.5108636]",1066.69,18.42682790473147
153,NUECES,"[27.7153774, -97.6199942]",838.48,16.337207382477988
154,JIM WELLS,"[27.8067733, -98.1084601]",864.97,16.59327040195815
155,SAN PATRICIO,"[28.0003594, -97.50204408532724]",693.45,14.857270971353332
156,KENEDY,"[26.9205171, -97.7461361]",1458.33,21.545638704638865
157,DUVAL,"[27.6708701, -98.5121975]",1793.48,23.893498110358507
158,BROOKS,"[26.9879856, -98.2071041]",943.36,17.32886812632467
159,ARANSAS,"[28.1987876, -96.947708]",252.07,8.957607909239723
160,JIM HOGG,"[27.0065425, -98.7047316]",1136.14,19.0172358723871
161,KLEBERG,"[27.3983129, -97.7485096]",881.31,16.749267433934303
162,HIDALGO,"[26.3530256, -98.216445]",1570.86,22.361462723179926
163,CAMERON,"[26.1291189, -97.4134281]",890.92,16.840338707960186
164,STARR,"[26.5630409, -98.7479897]",1223.18,19.732252021884495
165,WILLACY,"[26.4553947, -97.5947484]",590.55,13.710705576218166
166,BASTROP,"[30.0541116, -97.3887764]",888.15,16.814138794752452
167,BURNET,"[30.7763939, -98.1700016]",994.26,17.790225451015587
168,BLANCO,"[30.2419274, -98.4004594]",709.25,15.025576369946172
169,HAYS,"[30.0447901, -98.0393127]",677.98,14.690612701444705
170,CALDWELL,"[29.8298971, -97.5959641]",545.26,13.174474086952015
171,GILLESPIE,"[30.2954086, -98.9086643]",1058.21,18.353436713190874
172,UVALDE,"[29.300357, -99.7733181]",1551.94,22.226390045432368
173,DIMMIT,"[28.3821949, -99.7178226]",1328.88,20.56716113471893
174,ZAVALA,"[28.8366612, -99.767631]",1297.41,20.32217039544276
175,KINNEY,"[29.326416, -100.4165707]",1360.05,20.806973084024165
176,REAL,"[29.7949383, -99.8280905]",699.19,14.918634433161447
177,VAL VERDE,"[29.9153286, -101.1284631]",3144.75,31.639129849622194
178,TERRELL,"[30.1990738, -102.0974881]",2358.02,27.397138810917276
179,MAVERICK,"[28.792861, -100.3110817]",1279.26,20.17952216367123
180,FAYETTE,"[29.8381635, -96.9559692]",950.01,17.389838806417796
181,OLDHAM,"[35.3907651, -102.6193428]",1500.53,21.855150893174475
182,GRAY,"[33.5636114, -96.6702111]",925.97,17.16840407145218
183,WHEELER,"[35.3921902, -100.2632764]",914.52,17.061926698667378
184,LIPSCOMB,"[36.2695629, -100.2711772]",932.18,17.225877656991436
185,HUTCHINSON,"[35.8148236, -101.34844]",887.42,16.80722732454732
186,PARMER,"[34.4901153, -102.768021]",880.78,16.7442303602796
187,POTTER,"[35.3683354, -101.8776577]",908.37,17.004460565809534
188,MOORE,"[35.8156121, -101.9104355]",899.69,16.923021829266702
189,HEMPHILL,"[35.8293476, -100.2564532]",906.29,16.98498086674721
190,RANDALL,"[34.9444713, -101.8850309]",911.54,17.03410553077229
191,HARTLEY,"[35.8418438, -102.6145811]",1462.03,21.572953634249785
192,ARMSTRONG,"[34.9295608, -101.3449139]",909.11,17.011385463774058
193,HALE,"[34.0321298, -101.8088827]",1004.68,17.883204646691844
194,DALLAM,"[36.3127064, -102.616685]",1503.26,21.875023021292538
195,DEAF SMITH,"[34.9323974, -102.5983118]",1496.87,21.828480753816464
196,CASTRO,"[34.4952536, -102.2592314]",894.43,16.87347944116378
197,LAMB,"[34.0321667, -102.3429233]",1016.18,17.985262858494156
198,OCHILTREE,"[36.2559217, -100.8138152]",917.63,17.090913246914585
199,CARSON,"[35.3636563, -101.3353895]",920.22,17.115015703580916
200,HANSFORD,"[36.2563401, -101.3621472]",919.81,17.1112025185662
201,SWISHER,"[34.47235, -101.7119955]",890.16,16.833154343449888
202,ROBERTS,"[35.8309752, -100.8058034]",924.06,17.150688282015754
203,COLLINGSWORTH,"[34.9487017, -100.2669137]",918.44,17.098454732100453
204,CHILDRESS,"[34.519656850000004, -100.2067662719434]",696.40,14.888839530843326
205,DICKENS,"[33.6170056, -100.7614115]",901.72,16.942103056011916
206,FLOYD,"[34.0266015, -101.2765537]",992.14,17.77124882321416
207,COTTLE,"[34.0573118, -100.283259]",900.56,16.93120213104844
208,HARDEMAN,"[34.2510707, -99.7322571]",695.11,14.8750432171286
209,DONLEY,"[34.9315007, -100.8145306]",926.89,17.176930811205743
210,FOARD,"[33.9502317, -99.7310158]",704.40,14.974114223187271
211,HALL,"[34.5036637, -100.6536777]",883.49,16.76997005338048
212,MOTLEY,"[34.0395459, -100.7744062]",989.56,17.74812725357445
213,KING,"[33.588178, -100.2178972]",910.87,17.0278441771045
214,BRISCOE,"[34.4795161, -101.1875029]",900.00,16.92593710282681
