,County,Coordinates,Area (sq/mi),Radius (mi)
119,STAUNTON CITY,"[36.820293, -76.32117]",19.98,2.5219078292349333
120,BATH,"[38.05572555, -79.73500168165043]",529.16,12.978514057958794
121,HIGHLAND,"[38.3841897, -79.5907978]",415.16,11.495800532811094
122,ROCKBRIDGE,"[37.8331804, -79.4622597]",597.56,13.791840541062916
123,BUENA VISTA CITY,"[37.2656931, -79.9253152]",6.70,1.4603900634264693
124,ALLEGHANY,"[37.8167022, -80.0227166]",445.46,11.90791769787695
125,COVINGTON CITY,"[37.13788755, -80.54696713763464]",5.47,1.3195478127181823
126,LEXINGTON CITY,"[36.820621, -76.325537]",2.50,0.8920752129614055
127,LYNCHBURG CITY,"[37.3471574, -79.1773156]",49.13,3.954620834292568
128,CAMPBELL,"[37.2158191, -79.1165953]",503.87,12.664577873237837
129,HALIFAX,"[36.747244, -78.9425634]",817.84,16.1348763626482
130,AMHERST,"[37.5997548, -79.1483701]",473.93,12.28255077892201
131,DANVILLE CITY,"[38.633384, -77.329034]",42.93,3.696680462628885
132,BRISTOL,,13.01,2.0350267216326747
