,County,Coordinates,Area (sq/mi),Radius (mi)
147,WEBSTER,"[32.050618, -84.5473105]",209.12,8.1588557180163
148,CALHOUN,"[31.5311784, -84.614328]",280.37,9.44707229338493
149,DECATUR,"[30.8736613, -84.5740953]",597.14,13.786992834368528
150,EARLY,"[31.3454341, -84.9282058]",512.59,12.773694719172246
151,CLAY,"[31.5738181, -84.9800814]",195.38,7.886267799121385
152,TERRELL,"[31.7615999, -84.4410234]",335.44,10.333296538297953
153,GRADY,"[30.867067, -84.2322943]",454.53,12.028535227395555
154,RANDOLPH,"[31.7620266, -84.7468429]",428.24,11.675489111687575
155,MILLER,"[31.1591063, -84.737836]",282.42,9.481546784603076
156,SEMINOLE,"[30.951849, -84.8789094]",235.23,8.653221531753722
157,QUITMAN,"[31.8769847, -85.0154412]",151.24,6.938487373690029
158,BAKER,"[31.3439196, -84.4555346]",341.94,10.432933079000785
